       eth0       
 KB/s in  KB/s out
    1.28      1.28
 2991.12     66.57
 2294.25     53.75
    5.27      4.94
 1894.68    630.78
 1801.22   1793.65
 1535.17   1528.73
 2011.03   2011.64
 1592.01   1584.32
    2.57      2.57
 2427.52   1286.10
   14.01      4.14
 3567.10     82.07
 1682.44     38.19
    1.36      1.09
 1841.61     44.36
 1968.34   1604.48
 1650.24   1643.10
 1523.80   1193.71
 1354.63     30.92
 1754.64     43.52
 1570.58    702.75
       eth0       
 KB/s in  KB/s out
 1654.25   1647.92
 1535.48   1528.92
 1589.11   1593.70
    1.43      1.42
 1579.45   1572.02
 1952.18   1947.02
 1390.82   1382.91
 1469.09   1461.37
 1288.08   1282.62
 1429.12    201.25
 1512.13     36.47
 1269.96     30.87
 1452.89     37.78
 1000.52     23.96
    0.13      0.13
 3049.53     70.45
 1307.96     31.12
 1486.17     33.56
 1288.67     31.66
 1302.46     32.14
    0.29      0.26
 3107.10    676.07
       eth0       
 KB/s in  KB/s out
 1907.51   1893.21
 1123.47   1116.86
  908.04    902.13
 1069.38   1063.05
  995.12    988.24
 1379.94   1372.80
 1014.30   1007.93
  899.00    891.27
 1921.97   1908.68
 1233.01   1226.32
 1412.95   1400.01
  894.48    887.73
 1438.61   1423.78
 1605.35   1599.83
  690.65    683.93
 1563.26   1549.18
 1400.43    738.94
 1084.06   1709.87
 1663.60   1651.24
  708.71    702.16
 1588.07   1269.23
  925.64     25.86
       eth0       
 KB/s in  KB/s out
  563.85     16.88
 1937.28     46.83
  763.96     77.74
 1672.86   1653.13
 1037.81   1024.36
 1043.50   1030.16
 1350.34   1337.85
  931.24    917.46
  913.51    899.18
 1404.69   1368.27
  899.32    878.35
 1169.93   1159.08
 1321.12   1299.62
 1060.18   1046.53
 1267.14    810.01
 1297.98     35.01
 1527.21     38.18
 1225.19     31.99
 1143.68   1107.09
 1122.34   1101.93
 1198.66   1176.88
  864.20    866.38
       eth0       
 KB/s in  KB/s out
 1240.35   1213.76
  833.20    819.20
 1568.52   1539.99
  886.93    860.16
 1320.94   1298.19
  631.25    624.59
 1913.62   1873.85
  982.47    961.07
 1166.83    258.88
  987.78     26.76
  863.22     21.55
  336.82     11.39
    1.28      1.28
 3396.17   2083.14
 1068.33   1055.90
  629.79    623.06
 2135.20    745.74
  898.16     27.72
  441.05     12.97
 2465.69     58.74
  672.67     17.84
 1032.80     27.29
       eth0       
 KB/s in  KB/s out
 1666.00     39.91
  679.39    309.27
 1449.51   1436.32
  824.01    816.58
 1799.41   1787.56
 1378.07    143.28
  758.35     20.74
 1460.02     37.62
  778.63     19.97
 1710.69   1559.06
  896.21    888.58
  949.80    943.21
 1550.32   1078.33
    2.97      2.99
 2023.00     46.63
  912.94     23.11
 1501.24     36.92
    0.56      1.08
    1.28      1.28
 2925.58     65.80
 1660.65    808.27
 1013.52   1000.24
       eth0       
 KB/s in  KB/s out
  808.00    800.85
 1810.06   1796.50
 1253.68    111.21
  944.14     26.85
 1000.24     24.96
 1606.28     38.38
  700.22     19.32
  914.28     24.69
 2191.39     54.08
  612.46     15.84
 1826.55     45.26
 1553.01     36.47
    1.13      1.09
 1911.94   1286.46
  755.90    749.55
  910.30    904.64
 2026.61   2017.08
  843.61    838.60
  891.35    884.24
 1678.55   1665.41
 1076.87   1069.79
 1702.02   1687.87
       eth0       
 KB/s in  KB/s out
 1469.49   1455.95
  827.92    822.51
 1911.83   1896.89
 1959.75   1940.12
 1311.95   1299.40
  803.80    795.94
  932.39    924.74
 1503.33   1490.14
 1732.41    567.04
 1246.82     29.37
  844.65     21.62
 1671.94    599.08
 1001.66    995.16
 1141.30   1134.71
 1041.31   1035.10
 1170.58   1166.95
    2.53      2.60
 3436.07   3422.05
 1719.14   1639.15
  762.11    823.28
 1940.94   1926.50
    2.70      2.77
       eth0       
 KB/s in  KB/s out
 1166.44    578.60
 2145.88     50.67
 1307.00     33.11
  740.76    430.91
 1645.61   1637.59
    1.23      1.19
 2026.26   1530.62
  812.72   1290.64
 1127.18   1120.17
 2114.41   2100.42
  968.13    964.09
    1.79      2.74
 1683.20   1676.96
  925.76    918.26
 1833.36   1629.22
 1150.43     27.73
 1082.31     26.11
 1495.84     36.22
  922.15    446.59
 1206.60   1193.65
  747.68    740.22
 1537.32   1524.83
       eth0       
 KB/s in  KB/s out
 1122.41    590.48
 1478.47     36.02
 1813.35     41.62
  812.32     19.75
 1401.04     36.16
  744.35     18.90
 1634.00     38.93
  851.93     18.26
    1.12      1.16
 3619.80     82.81
  795.77     21.18
 1518.41     37.11
 1197.17     30.09
 1498.73    355.72
  962.30    957.72
 1910.68   1896.27
 2185.27   1253.07
 1127.22     28.17
 1751.76     41.14
  833.36    301.50
 1566.03   1552.66
 1719.57   1706.90
       eth0       
 KB/s in  KB/s out
  888.31    880.94
 1200.16     48.12
  862.14     22.05
 1890.47     44.90
  879.58    464.45
  953.31    945.87
 1465.45   1458.17
 1734.75   1582.06
  941.25     23.07
 1058.18     25.51
 1319.49     36.39
 1131.55     27.89
  909.30     21.79
 1472.04     35.90
 1438.99     37.67
 1262.17     32.24
 1129.85     28.48
 1497.88     36.30
 1481.25    575.35
  734.49    728.72
 1666.54   1652.53
 1382.34   1370.46
       eth0       
 KB/s in  KB/s out
 1022.86   1016.33
 1531.61   1146.53
  792.84   1157.35
 1816.70   1259.65
 1533.42     63.62
  933.54     26.82
 1717.39    120.16
  839.55    832.62
 1703.95   1689.70
  766.16    759.55
 1614.89   1600.77
  506.95    501.12
 1728.96   1715.10
 1865.17   1852.67
  880.20    875.08
 1494.94   1481.83
 1232.80   1226.10
 1340.29   1336.29
 1097.32   1092.79
 1326.93   1311.83
 1707.47   1407.45
 1305.49     30.26
       eth0       
 KB/s in  KB/s out
 1802.17     45.83
  954.89     23.38
 1146.11     26.65
 1556.68     38.74
    2.57      2.63
    0.00      0.00
 3900.78   2258.25
 1510.01   1503.02
  968.10    715.17
 2047.15     46.66
  688.19     19.37
 2041.44     45.72
 1088.17     27.26
 1214.89     28.68
 1472.67     33.46
 1606.53     38.44
 1147.82     26.28
 1261.14     28.73
  918.07     25.45
 2222.75     50.85
 1208.08     31.26
 1116.05     28.73
       eth0       
 KB/s in  KB/s out
 1279.54     30.14
 1391.14     33.93
 1725.15     37.52
  870.15     23.63
 1289.15     33.59
    3.85      3.85
    3.59      3.56
    0.55      0.55
