####,####,4k workload,####,####
 , ,RAND_READ, , ,SEQ_READ, , ,RAND_WRITE, , ,SEQ_WRITE, 
SIZE,IOPS,BW_KB,BW_MB,IOPS,BW_KB,BW_MB,IOPS,BW_KB,BW_MB,IOPS,BW_KB,BW_MB
1,83,332,0.32421875,2473,9892,9.66015625,63,252,0.24609375,1025,4100,4.00390625
2,97,388,0.37890625,2787,11148,10.88671875,120,480,0.46875,1235,4940,4.82421875
3,102,408,0.3984375,3045,12180,11.89453125,133,532,0.51953125,1286,5144,5.0234375
4,107,428,0.41796875,3228,12912,12.609375,135,540,0.52734375,1368,5472,5.34375
5,111,444,0.43359375,3539,14156,13.82421875,127,508,0.49609375,1412,5648,5.515625
6,115,460,0.44921875,3774,15096,14.7421875,109,436,0.42578125,1412,5648,5.515625
7,122,488,0.4765625,4149,16596,16.20703125,102,408,0.3984375,1503,6012,5.87109375
8,129,516,0.50390625,4663,18652,18.21484375,102,408,0.3984375,1559,6236,6.08984375
9,137,548,0.53515625,5259,21036,20.54296875,97,388,0.37890625,1639,6556,6.40234375
10,145,580,0.56640625,5814,23256,22.7109375,115,460,0.44921875,1631,6524,6.37109375
11,153,612,0.59765625,6736,26944,26.3125,105,420,0.41015625,1625,6500,6.34765625
12,163,652,0.63671875,7320,29280,28.59375,106,424,0.4140625,1490,5960,5.8203125
13,178,712,0.6953125,7525,30100,29.39453125,111,444,0.43359375,1472,5888,5.75
14,190,760,0.7421875,7392,29568,28.875,115,460,0.44921875,1276,5104,4.984375
15,207,828,0.80859375,7272,29088,28.40625,113,452,0.44140625,1204,4816,4.703125
16,224,896,0.875,7297,29188,28.50390625,117,468,0.45703125,1241,4964,4.84765625
17,246,984,0.9609375,9442,37768,36.8828125,120,480,0.46875,1930,7720,7.5390625
18,274,1096,1.0703125,9452,37808,36.921875,133,532,0.51953125,2082,8328,8.1328125
19,309,1236,1.20703125,9457,37828,36.94140625,131,524,0.51171875,2117,8468,8.26953125
20,343,1372,1.33984375,9519,38076,37.18359375,148,592,0.578125,2134,8536,8.3359375
21,406,1624,1.5859375,9554,38216,37.3203125,147,588,0.57421875,2126,8504,8.3046875
22,476,1904,1.859375,9507,38028,37.13671875,167,668,0.65234375,2118,8472,8.2734375
23,584,2336,2.28125,9541,38164,37.26953125,164,656,0.640625,2126,8504,8.3046875
24,755,3020,2.94921875,9507,38028,37.13671875,160,640,0.625,2131,8524,8.32421875
25,1074,4296,4.1953125,9399,37596,36.71484375,171,684,0.66796875,2135,8540,8.33984375
26,1913,7652,7.47265625,9265,37060,36.19140625,177,708,0.69140625,2125,8500,8.30078125
27,5280,21120,20.625,9340,37360,36.484375,186,744,0.7265625,2120,8480,8.28125
28,7695,30780,30.05859375,9408,37632,36.75,221,884,0.86328125,2133,8532,8.33203125
29,7700,30800,30.078125,9292,37168,36.296875,226,904,0.8828125,2138,8552,8.3515625
30,7714,30856,30.1328125,9302,37208,36.3359375,237,948,0.92578125,2100,8400,8.203125
31,7752,31008,30.28125,9397,37588,36.70703125,260,1040,1.015625,2120,8480,8.28125
32,7744,30976,30.25,9269,37076,36.20703125,311,1244,1.21484375,2132,8528,8.328125
33,7723,30892,30.16796875,9328,37312,36.4375,331,1324,1.29296875,2121,8484,8.28515625
34,7730,30920,30.1953125,9410,37640,36.7578125,396,1584,1.546875,2123,8492,8.29296875
35,7750,31000,30.2734375,9370,37480,36.6015625,448,1792,1.75,2115,8460,8.26171875
36,7738,30952,30.2265625,9500,38000,37.109375,472,1888,1.84375,2126,8504,8.3046875
37,7739,30956,30.23046875,9555,38220,37.32421875,614,2456,2.3984375,2118,8472,8.2734375
38,7751,31004,30.27734375,9434,37736,36.8515625,852,3408,3.328125,2110,8440,8.2421875
39,7765,31060,30.33203125,9402,37608,36.7265625,1541,6164,6.01953125,2133,8532,8.33203125
40,7782,31128,30.3984375,9498,37992,37.1015625,1793,7172,7.00390625,2137,8548,8.34765625
