go to sleep
start migration rb.0.1028.6b8b4567.000000000029
got lock: rb.0.1028.6b8b4567.000000000029
start migration rb.0.1028.6b8b4567.00000000002c
got lock: rb.0.1028.6b8b4567.00000000002c
finifsh migration rb.0.1028.6b8b4567.00000000002c
start migration rb.0.1028.6b8b4567.00000000002e
got lock: rb.0.1028.6b8b4567.00000000002e
finifsh migration rb.0.1028.6b8b4567.00000000002e
start migration rb.0.1028.6b8b4567.000000000031
got lock: rb.0.1028.6b8b4567.000000000031
start migration rb.0.1028.6b8b4567.00000000003b
got lock: rb.0.1028.6b8b4567.00000000003b
finifsh migration rb.0.1028.6b8b4567.00000000003b
start migration rb.0.1028.6b8b4567.00000000003c
got lock: rb.0.1028.6b8b4567.00000000003c
start migration rb.0.1028.6b8b4567.00000000003f
got lock: rb.0.1028.6b8b4567.00000000003f
start migration rb.0.1028.6b8b4567.000000000041
got lock: rb.0.1028.6b8b4567.000000000041
start migration rb.0.1028.6b8b4567.000000000042
got lock: rb.0.1028.6b8b4567.000000000042
start migration rb.0.1028.6b8b4567.00000000004a
got lock: rb.0.1028.6b8b4567.00000000004a
start migration rb.0.1028.6b8b4567.00000000004b
got lock: rb.0.1028.6b8b4567.00000000004b
start migration rb.0.1028.6b8b4567.00000000004d
got lock: rb.0.1028.6b8b4567.00000000004d
finifsh migration rb.0.1028.6b8b4567.000000000016
start migration rb.0.1028.6b8b4567.000000000050
got lock: rb.0.1028.6b8b4567.000000000050
start migration rb.0.1028.6b8b4567.000000000052
got lock: rb.0.1028.6b8b4567.000000000052
start migration rb.0.1028.6b8b4567.000000000054
got lock: rb.0.1028.6b8b4567.000000000054
finifsh migration rb.0.1028.6b8b4567.000000000013
start migration rb.0.1028.6b8b4567.000000000055
got lock: rb.0.1028.6b8b4567.000000000055
finifsh migration rb.0.1028.6b8b4567.00000000003c
start migration rb.0.1028.6b8b4567.000000000059
got lock: rb.0.1028.6b8b4567.000000000059
start migration rb.0.1028.6b8b4567.00000000005d
got lock: rb.0.1028.6b8b4567.00000000005d
finifsh migration rb.0.1028.6b8b4567.00000000003f
start migration rb.0.1028.6b8b4567.00000000005e
got lock: rb.0.1028.6b8b4567.00000000005e
start migration rb.0.1028.6b8b4567.00000000005f
got lock: rb.0.1028.6b8b4567.00000000005f
start migration rb.0.1028.6b8b4567.000000000063
got lock: rb.0.1028.6b8b4567.000000000063
start migration rb.0.1028.6b8b4567.000000000067
got lock: rb.0.1028.6b8b4567.000000000067
start migration rb.0.1028.6b8b4567.000000000068
got lock: rb.0.1028.6b8b4567.000000000068
finifsh migration rb.0.1028.6b8b4567.00000000001c
start migration rb.0.1028.6b8b4567.000000000069
got lock: rb.0.1028.6b8b4567.000000000069
finifsh migration rb.0.1028.6b8b4567.000000000023
start migration rb.0.1028.6b8b4567.00000000006b
got lock: rb.0.1028.6b8b4567.00000000006b
finifsh migration rb.0.1028.6b8b4567.000000000028
finifsh migration rb.0.1028.6b8b4567.000000000042
start migration rb.0.1028.6b8b4567.00000000006f
got lock: rb.0.1028.6b8b4567.00000000006f
finifsh migration rb.0.1028.6b8b4567.000000000029
finifsh migration rb.0.1028.6b8b4567.00000000004b
finifsh migration rb.0.1028.6b8b4567.000000000031
start migration rb.0.1028.6b8b4567.000000000070
got lock: rb.0.1028.6b8b4567.000000000070
finifsh migration rb.0.1028.6b8b4567.000000000041
start migration rb.0.1028.6b8b4567.000000000071
got lock: rb.0.1028.6b8b4567.000000000071
finifsh migration rb.0.1028.6b8b4567.00000000004d
finifsh migration rb.0.1028.6b8b4567.000000000050
finifsh migration rb.0.1028.6b8b4567.000000000052
start migration rb.0.1028.6b8b4567.000000000074
got lock: rb.0.1028.6b8b4567.000000000074
start migration rb.0.1028.6b8b4567.000000000076
got lock: rb.0.1028.6b8b4567.000000000076
finifsh migration rb.0.1028.6b8b4567.00000000004a
finifsh migration rb.0.1028.6b8b4567.00000000005f
finifsh migration rb.0.1028.6b8b4567.00000000005e
finifsh migration rb.0.1028.6b8b4567.000000000055
finifsh migration rb.0.1028.6b8b4567.000000000059
start migration rb.0.1028.6b8b4567.000000000078
got lock: rb.0.1028.6b8b4567.000000000078
finifsh migration rb.0.1028.6b8b4567.000000000054
start migration rb.0.1028.6b8b4567.000000000079
got lock: rb.0.1028.6b8b4567.000000000079
start migration rb.0.1028.6b8b4567.00000000007b
got lock: rb.0.1028.6b8b4567.00000000007b
start migration rb.0.1028.6b8b4567.000000000080
got lock: rb.0.1028.6b8b4567.000000000080
finifsh migration rb.0.1028.6b8b4567.00000000005d
finifsh migration rb.0.1028.6b8b4567.000000000069
finifsh migration rb.0.1028.6b8b4567.000000000063
finifsh migration rb.0.1028.6b8b4567.000000000068
finifsh migration rb.0.1028.6b8b4567.000000000067
finifsh migration rb.0.1028.6b8b4567.00000000006b
finifsh migration rb.0.1028.6b8b4567.00000000006f
start migration rb.0.1028.6b8b4567.000000000087
got lock: rb.0.1028.6b8b4567.000000000087
finifsh migration rb.0.1028.6b8b4567.000000000070
start migration rb.0.1028.6b8b4567.00000000008a
got lock: rb.0.1028.6b8b4567.00000000008a
finifsh migration rb.0.1028.6b8b4567.000000000071
finifsh migration rb.0.1028.6b8b4567.000000000076
finifsh migration rb.0.1028.6b8b4567.000000000078
start migration rb.0.1028.6b8b4567.00000000008e
got lock: rb.0.1028.6b8b4567.00000000008e
finifsh migration rb.0.1028.6b8b4567.00000000008a
finifsh migration rb.0.1028.6b8b4567.00000000008e
start migration rb.0.1028.6b8b4567.000000000090
got lock: rb.0.1028.6b8b4567.000000000090
finifsh migration rb.0.1028.6b8b4567.000000000090
start migration rb.0.1028.6b8b4567.000000000097
got lock: rb.0.1028.6b8b4567.000000000097
start migration rb.0.1028.6b8b4567.000000000099
got lock: rb.0.1028.6b8b4567.000000000099
finifsh migration rb.0.1028.6b8b4567.000000000097
start migration rb.0.1028.6b8b4567.00000000009b
got lock: rb.0.1028.6b8b4567.00000000009b
start migration rb.0.1028.6b8b4567.00000000009d
got lock: rb.0.1028.6b8b4567.00000000009d
finifsh migration rb.0.1028.6b8b4567.00000000009b
finifsh migration rb.0.1028.6b8b4567.000000000074
start migration rb.0.1028.6b8b4567.0000000000a5
got lock: rb.0.1028.6b8b4567.0000000000a5
start migration rb.0.1028.6b8b4567.0000000000b1
got lock: rb.0.1028.6b8b4567.0000000000b1
finifsh migration rb.0.1028.6b8b4567.000000000079
finifsh migration rb.0.1028.6b8b4567.00000000007b
finifsh migration rb.0.1028.6b8b4567.000000000080
start migration rb.0.1028.6b8b4567.0000000000b2
got lock: rb.0.1028.6b8b4567.0000000000b2
start migration rb.0.1028.6b8b4567.0000000000b6
got lock: rb.0.1028.6b8b4567.0000000000b6
finifsh migration rb.0.1028.6b8b4567.000000000087
finifsh migration rb.0.1028.6b8b4567.000000000099
finifsh migration rb.0.1028.6b8b4567.00000000009d
start migration rb.0.1028.6b8b4567.0000000000b8
got lock: rb.0.1028.6b8b4567.0000000000b8
start migration rb.0.1028.6b8b4567.0000000000b9
got lock: rb.0.1028.6b8b4567.0000000000b9
finifsh migration rb.0.1028.6b8b4567.0000000000a5
finifsh migration rb.0.1028.6b8b4567.0000000000b6
finifsh migration rb.0.1028.6b8b4567.0000000000b1
start migration rb.0.1028.6b8b4567.0000000000bd
got lock: rb.0.1028.6b8b4567.0000000000bd
finifsh migration rb.0.1028.6b8b4567.0000000000b9
start migration rb.0.1028.6b8b4567.0000000000be
got lock: rb.0.1028.6b8b4567.0000000000be
finifsh migration rb.0.1028.6b8b4567.0000000000bd
finifsh migration rb.0.1028.6b8b4567.0000000000be
start migration rb.0.1028.6b8b4567.0000000000bf
got lock: rb.0.1028.6b8b4567.0000000000bf
finifsh migration rb.0.1028.6b8b4567.0000000000b8
start migration rb.0.1028.6b8b4567.0000000000c0
got lock: rb.0.1028.6b8b4567.0000000000c0
finifsh migration rb.0.1028.6b8b4567.0000000000bf
finifsh migration rb.0.1028.6b8b4567.0000000000b2
start migration rb.0.1028.6b8b4567.0000000000c2
got lock: rb.0.1028.6b8b4567.0000000000c2
start migration rb.0.1028.6b8b4567.0000000000c3
got lock: rb.0.1028.6b8b4567.0000000000c3
finifsh migration rb.0.1028.6b8b4567.0000000000c3
start migration rb.0.1028.6b8b4567.0000000000c6
got lock: rb.0.1028.6b8b4567.0000000000c6
finifsh migration rb.0.1028.6b8b4567.0000000000c2
finifsh migration rb.0.1028.6b8b4567.0000000000c0
finifsh migration rb.0.1028.6b8b4567.0000000000c6
start migration rb.0.1028.6b8b4567.0000000000ca
got lock: rb.0.1028.6b8b4567.0000000000ca
start migration rb.0.1028.6b8b4567.0000000000cb
got lock: rb.0.1028.6b8b4567.0000000000cb
finifsh migration rb.0.1028.6b8b4567.0000000000ca
start migration rb.0.1028.6b8b4567.0000000000ce
got lock: rb.0.1028.6b8b4567.0000000000ce
finifsh migration rb.0.1028.6b8b4567.0000000000cb
start migration rb.0.1028.6b8b4567.0000000000d2
got lock: rb.0.1028.6b8b4567.0000000000d2
finifsh migration rb.0.1028.6b8b4567.0000000000ce
start migration rb.0.1028.6b8b4567.0000000000d3
got lock: rb.0.1028.6b8b4567.0000000000d3
start migration rb.0.1028.6b8b4567.0000000000d6
got lock: rb.0.1028.6b8b4567.0000000000d6
start migration rb.0.1028.6b8b4567.0000000000d8
got lock: rb.0.1028.6b8b4567.0000000000d8
start migration rb.0.1028.6b8b4567.0000000000da
got lock: rb.0.1028.6b8b4567.0000000000da
finifsh migration rb.0.1028.6b8b4567.0000000000d2
start migration rb.0.1028.6b8b4567.0000000000db
got lock: rb.0.1028.6b8b4567.0000000000db
start migration rb.0.1028.6b8b4567.0000000000dd
got lock: rb.0.1028.6b8b4567.0000000000dd
finifsh migration rb.0.1028.6b8b4567.0000000000d3
start migration rb.0.1028.6b8b4567.0000000000e1
got lock: rb.0.1028.6b8b4567.0000000000e1
start migration rb.0.1028.6b8b4567.0000000000e2
got lock: rb.0.1028.6b8b4567.0000000000e2
start migration rb.0.1028.6b8b4567.0000000000e3
got lock: rb.0.1028.6b8b4567.0000000000e3
finifsh migration rb.0.1028.6b8b4567.0000000000d8
start migration rb.0.1028.6b8b4567.0000000000e4
got lock: rb.0.1028.6b8b4567.0000000000e4
start migration rb.0.1028.6b8b4567.0000000000e6
got lock: rb.0.1028.6b8b4567.0000000000e6
start migration rb.0.1028.6b8b4567.0000000000e8
got lock: rb.0.1028.6b8b4567.0000000000e8
start migration rb.0.1028.6b8b4567.0000000000ea
got lock: rb.0.1028.6b8b4567.0000000000ea
start migration rb.0.1028.6b8b4567.0000000000ed
got lock: rb.0.1028.6b8b4567.0000000000ed
start migration rb.0.1028.6b8b4567.0000000000ef
got lock: rb.0.1028.6b8b4567.0000000000ef
start migration rb.0.1028.6b8b4567.0000000000f1
got lock: rb.0.1028.6b8b4567.0000000000f1
start migration rb.0.1028.6b8b4567.0000000000f3
got lock: rb.0.1028.6b8b4567.0000000000f3
start migration rb.0.1028.6b8b4567.0000000000f6
got lock: rb.0.1028.6b8b4567.0000000000f6
start migration rb.0.1028.6b8b4567.0000000000f8
got lock: rb.0.1028.6b8b4567.0000000000f8
start migration rb.0.1028.6b8b4567.0000000000fb
got lock: rb.0.1028.6b8b4567.0000000000fb
finifsh migration rb.0.1028.6b8b4567.0000000000da
start migration rb.0.1028.6b8b4567.000000000100
got lock: rb.0.1028.6b8b4567.000000000100
start migration rb.0.1028.6b8b4567.000000000104
got lock: rb.0.1028.6b8b4567.000000000104
start migration rb.0.1028.6b8b4567.000000000106
got lock: rb.0.1028.6b8b4567.000000000106
start migration rb.0.1028.6b8b4567.000000000107
got lock: rb.0.1028.6b8b4567.000000000107
finifsh migration rb.0.1028.6b8b4567.0000000000d6
finifsh migration rb.0.1028.6b8b4567.0000000000dd
start migration rb.0.1028.6b8b4567.00000000010b
got lock: rb.0.1028.6b8b4567.00000000010b
finifsh migration rb.0.1028.6b8b4567.0000000000db
start migration rb.0.1028.6b8b4567.000000000112
got lock: rb.0.1028.6b8b4567.000000000112
finifsh migration rb.0.1028.6b8b4567.0000000000e2
finifsh migration rb.0.1028.6b8b4567.0000000000e3
finifsh migration rb.0.1028.6b8b4567.0000000000e6
start migration rb.0.1028.6b8b4567.000000000113
got lock: rb.0.1028.6b8b4567.000000000113
finifsh migration rb.0.1028.6b8b4567.0000000000e4
finifsh migration rb.0.1028.6b8b4567.0000000000ea
start migration rb.0.1028.6b8b4567.00000000011b
got lock: rb.0.1028.6b8b4567.00000000011b
finifsh migration rb.0.1028.6b8b4567.0000000000e8
finifsh migration rb.0.1028.6b8b4567.0000000000e1
finifsh migration rb.0.1028.6b8b4567.0000000000f3
start migration rb.0.1028.6b8b4567.00000000011d
got lock: rb.0.1028.6b8b4567.00000000011d
finifsh migration rb.0.1028.6b8b4567.0000000000ed
finifsh migration rb.0.1028.6b8b4567.0000000000ef
start migration rb.0.1028.6b8b4567.000000000120
got lock: rb.0.1028.6b8b4567.000000000120
finifsh migration rb.0.1028.6b8b4567.0000000000f6
finifsh migration rb.0.1028.6b8b4567.0000000000fb
finifsh migration rb.0.1028.6b8b4567.0000000000f1
start migration rb.0.1028.6b8b4567.000000000121
got lock: rb.0.1028.6b8b4567.000000000121
finifsh migration rb.0.1028.6b8b4567.0000000000f8
finifsh migration rb.0.1028.6b8b4567.000000000100
finifsh migration rb.0.1028.6b8b4567.000000000104
finifsh migration rb.0.1028.6b8b4567.000000000106
start migration rb.0.1028.6b8b4567.000000000123
got lock: rb.0.1028.6b8b4567.000000000123
finifsh migration rb.0.1028.6b8b4567.00000000010b
finifsh migration rb.0.1028.6b8b4567.000000000107
finifsh migration rb.0.1028.6b8b4567.000000000112
start migration rb.0.1028.6b8b4567.000000000124
got lock: rb.0.1028.6b8b4567.000000000124
finifsh migration rb.0.1028.6b8b4567.000000000113
start migration rb.0.1028.6b8b4567.000000000125
got lock: rb.0.1028.6b8b4567.000000000125
finifsh migration rb.0.1028.6b8b4567.000000000124
finifsh migration rb.0.1028.6b8b4567.00000000011b
start migration rb.0.1028.6b8b4567.000000000127
got lock: rb.0.1028.6b8b4567.000000000127
start migration rb.0.1028.6b8b4567.00000000012c
got lock: rb.0.1028.6b8b4567.00000000012c
start migration rb.0.1028.6b8b4567.000000000130
got lock: rb.0.1028.6b8b4567.000000000130
finifsh migration rb.0.1028.6b8b4567.000000000130
start migration rb.0.1028.6b8b4567.00000000013b
got lock: rb.0.1028.6b8b4567.00000000013b
start migration rb.0.1028.6b8b4567.00000000013c
got lock: rb.0.1028.6b8b4567.00000000013c
finifsh migration rb.0.1028.6b8b4567.00000000011d
finifsh migration rb.0.1028.6b8b4567.000000000120
start migration rb.0.1028.6b8b4567.00000000013d
got lock: rb.0.1028.6b8b4567.00000000013d
finifsh migration rb.0.1028.6b8b4567.000000000121
finifsh migration rb.0.1028.6b8b4567.00000000013d
start migration rb.0.1028.6b8b4567.00000000013f
got lock: rb.0.1028.6b8b4567.00000000013f
start migration rb.0.1028.6b8b4567.000000000140
got lock: rb.0.1028.6b8b4567.000000000140
finifsh migration rb.0.1028.6b8b4567.00000000013f
finifsh migration rb.0.1028.6b8b4567.000000000125
finifsh migration rb.0.1028.6b8b4567.000000000123
start migration rb.0.1028.6b8b4567.000000000142
got lock: rb.0.1028.6b8b4567.000000000142
finifsh migration rb.0.1028.6b8b4567.000000000140
finifsh migration rb.0.1028.6b8b4567.00000000012c
start migration rb.0.1028.6b8b4567.000000000147
got lock: rb.0.1028.6b8b4567.000000000147
finifsh migration rb.0.1028.6b8b4567.00000000013b
start migration rb.0.1028.6b8b4567.000000000148
got lock: rb.0.1028.6b8b4567.000000000148
start migration rb.0.1028.6b8b4567.000000000149
got lock: rb.0.1028.6b8b4567.000000000149
finifsh migration rb.0.1028.6b8b4567.000000000127
start migration rb.0.1028.6b8b4567.00000000014a
got lock: rb.0.1028.6b8b4567.00000000014a
finifsh migration rb.0.1028.6b8b4567.000000000148
start migration rb.0.1028.6b8b4567.000000000153
got lock: rb.0.1028.6b8b4567.000000000153
start migration rb.0.1028.6b8b4567.000000000154
got lock: rb.0.1028.6b8b4567.000000000154
start migration rb.0.1028.6b8b4567.000000000155
got lock: rb.0.1028.6b8b4567.000000000155
start migration rb.0.1028.6b8b4567.000000000158
got lock: rb.0.1028.6b8b4567.000000000158
start migration rb.0.1028.6b8b4567.00000000015c
got lock: rb.0.1028.6b8b4567.00000000015c
finifsh migration rb.0.1028.6b8b4567.00000000013c
start migration rb.0.1028.6b8b4567.00000000015d
got lock: rb.0.1028.6b8b4567.00000000015d
finifsh migration rb.0.1028.6b8b4567.000000000142
finifsh migration rb.0.1028.6b8b4567.000000000149
finifsh migration rb.0.1028.6b8b4567.00000000014a
finifsh migration rb.0.1028.6b8b4567.000000000147
start migration rb.0.1028.6b8b4567.00000000015e
finifsh migration rb.0.1028.6b8b4567.000000000153
got lock: rb.0.1028.6b8b4567.00000000015e
finifsh migration rb.0.1028.6b8b4567.000000000158
start migration rb.0.1028.6b8b4567.00000000015f
got lock: rb.0.1028.6b8b4567.00000000015f
finifsh migration rb.0.1028.6b8b4567.000000000155
finifsh migration rb.0.1028.6b8b4567.000000000154
start migration rb.0.1028.6b8b4567.000000000162
got lock: rb.0.1028.6b8b4567.000000000162
finifsh migration rb.0.1028.6b8b4567.00000000015c
start migration rb.0.1028.6b8b4567.00000000016c
got lock: rb.0.1028.6b8b4567.00000000016c
finifsh migration rb.0.1028.6b8b4567.00000000015f
finifsh migration rb.0.1028.6b8b4567.00000000015e
start migration rb.0.1028.6b8b4567.00000000016f
got lock: rb.0.1028.6b8b4567.00000000016f
finifsh migration rb.0.1028.6b8b4567.00000000016c
finifsh migration rb.0.1028.6b8b4567.00000000016f
start migration rb.0.1028.6b8b4567.000000000170
got lock: rb.0.1028.6b8b4567.000000000170
finifsh migration rb.0.1028.6b8b4567.00000000015d
start migration rb.0.1028.6b8b4567.000000000171
got lock: rb.0.1028.6b8b4567.000000000171
start migration rb.0.1028.6b8b4567.000000000172
got lock: rb.0.1028.6b8b4567.000000000172
finifsh migration rb.0.1028.6b8b4567.000000000171
start migration rb.0.1028.6b8b4567.000000000173
got lock: rb.0.1028.6b8b4567.000000000173
start migration rb.0.1028.6b8b4567.000000000174
got lock: rb.0.1028.6b8b4567.000000000174
finifsh migration rb.0.1028.6b8b4567.000000000173
finifsh migration rb.0.1028.6b8b4567.000000000162
finifsh migration rb.0.1028.6b8b4567.000000000170
start migration rb.0.1028.6b8b4567.000000000177
got lock: rb.0.1028.6b8b4567.000000000177
finifsh migration rb.0.1028.6b8b4567.000000000174
finifsh migration rb.0.1028.6b8b4567.000000000172
start migration rb.0.1028.6b8b4567.000000000178
got lock: rb.0.1028.6b8b4567.000000000178
start migration rb.0.1028.6b8b4567.000000000179
got lock: rb.0.1028.6b8b4567.000000000179
start migration rb.0.1028.6b8b4567.00000000017d
got lock: rb.0.1028.6b8b4567.00000000017d
finifsh migration rb.0.1028.6b8b4567.000000000178
finifsh migration rb.0.1028.6b8b4567.000000000177
finifsh migration rb.0.1028.6b8b4567.000000000179
finifsh migration rb.0.1028.6b8b4567.00000000017d
start migration rb.0.1028.6b8b4567.00000000017f
got lock: rb.0.1028.6b8b4567.00000000017f
start migration rb.0.1028.6b8b4567.000000000180
got lock: rb.0.1028.6b8b4567.000000000180
finifsh migration rb.0.1028.6b8b4567.00000000017f
start migration rb.0.1028.6b8b4567.000000000181
got lock: rb.0.1028.6b8b4567.000000000181
finifsh migration rb.0.1028.6b8b4567.000000000180
finifsh migration rb.0.1028.6b8b4567.000000000181
start migration rb.0.1028.6b8b4567.000000000182
got lock: rb.0.1028.6b8b4567.000000000182
start migration rb.0.1028.6b8b4567.000000000184
got lock: rb.0.1028.6b8b4567.000000000184
start migration rb.0.1028.6b8b4567.000000000188
got lock: rb.0.1028.6b8b4567.000000000188
start migration rb.0.1028.6b8b4567.00000000018b
got lock: rb.0.1028.6b8b4567.00000000018b
start migration rb.0.1028.6b8b4567.00000000018d
got lock: rb.0.1028.6b8b4567.00000000018d
start migration rb.0.1028.6b8b4567.00000000018e
got lock: rb.0.1028.6b8b4567.00000000018e
start migration rb.0.1028.6b8b4567.00000000018f
got lock: rb.0.1028.6b8b4567.00000000018f
start migration rb.0.1028.6b8b4567.000000000190
got lock: rb.0.1028.6b8b4567.000000000190
start migration rb.0.1028.6b8b4567.000000000191
got lock: rb.0.1028.6b8b4567.000000000191
start migration rb.0.1028.6b8b4567.000000000196
got lock: rb.0.1028.6b8b4567.000000000196
start migration rb.0.1028.6b8b4567.000000000199
got lock: rb.0.1028.6b8b4567.000000000199
start migration rb.0.1028.6b8b4567.00000000019e
got lock: rb.0.1028.6b8b4567.00000000019e
start migration rb.0.1028.6b8b4567.0000000001a7
got lock: rb.0.1028.6b8b4567.0000000001a7
finifsh migration rb.0.1028.6b8b4567.00000000018e
finifsh migration rb.0.1028.6b8b4567.000000000184
finifsh migration rb.0.1028.6b8b4567.000000000182
finifsh migration rb.0.1028.6b8b4567.000000000188
start migration rb.0.1028.6b8b4567.0000000001a8
got lock: rb.0.1028.6b8b4567.0000000001a8
finifsh migration rb.0.1028.6b8b4567.00000000018d
finifsh migration rb.0.1028.6b8b4567.00000000018b
finifsh migration rb.0.1028.6b8b4567.000000000196
start migration rb.0.1028.6b8b4567.0000000001ab
got lock: rb.0.1028.6b8b4567.0000000001ab
finifsh migration rb.0.1028.6b8b4567.00000000018f
start migration rb.0.1028.6b8b4567.0000000001ac
got lock: rb.0.1028.6b8b4567.0000000001ac
finifsh migration rb.0.1028.6b8b4567.0000000001ab
start migration rb.0.1028.6b8b4567.0000000001ad
got lock: rb.0.1028.6b8b4567.0000000001ad
finifsh migration rb.0.1028.6b8b4567.000000000190
finifsh migration rb.0.1028.6b8b4567.0000000001ac
finifsh migration rb.0.1028.6b8b4567.000000000191
finifsh migration rb.0.1028.6b8b4567.000000000199
start migration rb.0.1028.6b8b4567.0000000001af
got lock: rb.0.1028.6b8b4567.0000000001af
start migration rb.0.1028.6b8b4567.0000000001b0
got lock: rb.0.1028.6b8b4567.0000000001b0
start migration rb.0.1028.6b8b4567.0000000001b4
got lock: rb.0.1028.6b8b4567.0000000001b4
start migration rb.0.1028.6b8b4567.0000000001b5
got lock: rb.0.1028.6b8b4567.0000000001b5
finifsh migration rb.0.1028.6b8b4567.00000000019e
finifsh migration rb.0.1028.6b8b4567.0000000001ad
finifsh migration rb.0.1028.6b8b4567.0000000001a8
finifsh migration rb.0.1028.6b8b4567.0000000001b0
start migration rb.0.1028.6b8b4567.0000000001b7
got lock: rb.0.1028.6b8b4567.0000000001b7
start migration rb.0.1028.6b8b4567.0000000001b8
got lock: rb.0.1028.6b8b4567.0000000001b8
finifsh migration rb.0.1028.6b8b4567.0000000001af
finifsh migration rb.0.1028.6b8b4567.0000000001b4
finifsh migration rb.0.1028.6b8b4567.0000000001a7
finifsh migration rb.0.1028.6b8b4567.0000000001b7
finifsh migration rb.0.1028.6b8b4567.0000000001b5
start migration rb.0.1028.6b8b4567.0000000001bb
got lock: rb.0.1028.6b8b4567.0000000001bb
finifsh migration rb.0.1028.6b8b4567.0000000001b8
start migration rb.0.1028.6b8b4567.0000000001bd
got lock: rb.0.1028.6b8b4567.0000000001bd
finifsh migration rb.0.1028.6b8b4567.0000000001bb
start migration rb.0.1028.6b8b4567.0000000001c2
got lock: rb.0.1028.6b8b4567.0000000001c2
finifsh migration rb.0.1028.6b8b4567.0000000001c2
start migration rb.0.1028.6b8b4567.0000000001c4
got lock: rb.0.1028.6b8b4567.0000000001c4
finifsh migration rb.0.1028.6b8b4567.0000000001bd
start migration rb.0.1028.6b8b4567.0000000001c6
got lock: rb.0.1028.6b8b4567.0000000001c6
start migration rb.0.1028.6b8b4567.0000000001cb
got lock: rb.0.1028.6b8b4567.0000000001cb
finifsh migration rb.0.1028.6b8b4567.0000000001c4
finifsh migration rb.0.1028.6b8b4567.0000000001c6
start migration rb.0.1028.6b8b4567.0000000001d0
got lock: rb.0.1028.6b8b4567.0000000001d0
finifsh migration rb.0.1028.6b8b4567.0000000001cb
finifsh migration rb.0.1028.6b8b4567.0000000001d0
start migration rb.0.1028.6b8b4567.0000000001d2
got lock: rb.0.1028.6b8b4567.0000000001d2
start migration rb.0.1028.6b8b4567.0000000001d4
got lock: rb.0.1028.6b8b4567.0000000001d4
finifsh migration rb.0.1028.6b8b4567.0000000001d2
start migration rb.0.1028.6b8b4567.0000000001d5
got lock: rb.0.1028.6b8b4567.0000000001d5
start migration rb.0.1028.6b8b4567.0000000001d7
got lock: rb.0.1028.6b8b4567.0000000001d7
start migration rb.0.1028.6b8b4567.0000000001d8
got lock: rb.0.1028.6b8b4567.0000000001d8
start migration rb.0.1028.6b8b4567.0000000001db
got lock: rb.0.1028.6b8b4567.0000000001db
start migration rb.0.1028.6b8b4567.0000000001de
got lock: rb.0.1028.6b8b4567.0000000001de
start migration rb.0.1028.6b8b4567.0000000001e6
got lock: rb.0.1028.6b8b4567.0000000001e6
start migration rb.0.1028.6b8b4567.0000000001eb
got lock: rb.0.1028.6b8b4567.0000000001eb
start migration rb.0.1028.6b8b4567.0000000001ee
got lock: rb.0.1028.6b8b4567.0000000001ee
start migration rb.0.1028.6b8b4567.0000000001ef
got lock: rb.0.1028.6b8b4567.0000000001ef
