go to sleep
start monitor server
start migration rb.0.1028.6b8b4567.000000000000
got lock: rb.0.1028.6b8b4567.000000000000
start migration rb.0.1028.6b8b4567.000000001fff
got lock: rb.0.1028.6b8b4567.000000001fff
finifsh migration rb.0.1028.6b8b4567.000000000000
finifsh migration rb.0.1028.6b8b4567.000000001fff
start migration rb.0.1028.6b8b4567.000000000003
got lock: rb.0.1028.6b8b4567.000000000003
start migration rb.0.1028.6b8b4567.000000000004
got lock: rb.0.1028.6b8b4567.000000000004
start migration rb.0.1028.6b8b4567.000000000005
got lock: rb.0.1028.6b8b4567.000000000005
finifsh migration rb.0.1028.6b8b4567.000000000003
finifsh migration rb.0.1028.6b8b4567.000000000004
start migration rb.0.1028.6b8b4567.000000000006
got lock: rb.0.1028.6b8b4567.000000000006
start migration rb.0.1028.6b8b4567.000000000009
got lock: rb.0.1028.6b8b4567.000000000009
finifsh migration rb.0.1028.6b8b4567.000000000006
start migration rb.0.1028.6b8b4567.00000000000e
got lock: rb.0.1028.6b8b4567.00000000000e
finifsh migration rb.0.1028.6b8b4567.000000000005
finifsh migration rb.0.1028.6b8b4567.000000000009
start migration rb.0.1028.6b8b4567.00000000000f
got lock: rb.0.1028.6b8b4567.00000000000f
finifsh migration rb.0.1028.6b8b4567.00000000000e
start migration rb.0.1028.6b8b4567.000000000013
got lock: rb.0.1028.6b8b4567.000000000013
start migration rb.0.1028.6b8b4567.000000000016
got lock: rb.0.1028.6b8b4567.000000000016
finifsh migration rb.0.1028.6b8b4567.00000000000f
start migration rb.0.1028.6b8b4567.00000000001b
got lock: rb.0.1028.6b8b4567.00000000001b
start migration rb.0.1028.6b8b4567.00000000001c
got lock: rb.0.1028.6b8b4567.00000000001c
finifsh migration rb.0.1028.6b8b4567.00000000001b
start migration rb.0.1028.6b8b4567.00000000001f
got lock: rb.0.1028.6b8b4567.00000000001f
finifsh migration rb.0.1028.6b8b4567.00000000001f
start migration rb.0.1028.6b8b4567.000000000020
got lock: rb.0.1028.6b8b4567.000000000020
finifsh migration rb.0.1028.6b8b4567.000000000020
start migration rb.0.1028.6b8b4567.000000000023
got lock: rb.0.1028.6b8b4567.000000000023
start migration rb.0.1028.6b8b4567.000000000026
got lock: rb.0.1028.6b8b4567.000000000026
finifsh migration rb.0.1028.6b8b4567.000000000026
start migration rb.0.1028.6b8b4567.000000000028
got lock: rb.0.1028.6b8b4567.000000000028
