####,####,read,####,####
 , , ,SSD, , , , , ,HDD, , , 
 , ,RAND, , ,SEQ, , ,RAND, , ,SEQ, 
SIZE,IOPS,BW_KB,BW_MB,IOPS,BW_KB,BW_MB,IOPS,BW_KB,BW_MB,IOPS,BW_KB,BW_MB
1k,8144,8144,7.953125,11226,11226,10.962890625,96,96,0.09375,5042,5042,4.923828125
2k,8022,16044,15.66796875,10242,20484,20.00390625,96,192,0.1875,4320,8640,8.4375
4k,7640,30560,29.84375,8650,34600,33.7890625,96,384,0.375,3289,13156,12.84765625
8k,6364,50912,49.71875,6855,54840,53.5546875,95,760,0.7421875,2290,18320,17.890625
16k,4020,64320,62.8125,3991,63856,62.359375,96,1536,1.5,1466,23456,22.90625
32k,2059,65888,64.34375,2032,65024,63.5,94,3008,2.9375,858,27456,26.8125
64k,1041,66624,65.0625,1020,65280,63.75,93,5952,5.8125,469,30016,29.3125
128k,523,66944,65.375,512,65536,64.0,86,11008,10.75,272,34816,34.0
256k,261,66816,65.25,251,64256,62.75,58,14848,14.5,154,39424,38.5
512k,130,66560,65.0,126,64512,63.0,43,22016,21.5,106,54272,53.0
1M,65,66560,65.0,62,63488,62.0,34,34816,34.0,60,61440,60.0
2M,32,65536,64.0,31,63488,62.0,20,40960,40.0,30,61440,60.0
4M,16,65536,64.0,15,61440,60.0,12,49152,48.0,15,61440,60.0
8M,8,65536,64.0,7,57344,56.0,6,49152,48.0,7,57344,56.0
16M,4,65536,64.0,3,49152,48.0,3,49152,48.0,3,49152,48.0
####,####,write,####,####
 , , ,SSD, , , , , ,HDD, , , 
 , ,RAND, , ,SEQ, , ,RAND, , ,SEQ, 
SIZE,IOPS,BW_KB,BW_MB,IOPS,BW_KB,BW_MB,IOPS,BW_KB,BW_MB,IOPS,BW_KB,BW_MB
1k,1544,1544,1.5078125,2103,2103,2.0537109375,32,32,0.03125,361,361,0.3525390625
2k,1528,3056,2.984375,1995,3990,3.896484375,31,62,0.060546875,315,630,0.615234375
4k,1948,7792,7.609375,2159,8636,8.43359375,64,256,0.25,828,3312,3.234375
8k,1837,14696,14.3515625,2076,16608,16.21875,58,464,0.453125,722,5776,5.640625
16k,1637,26192,25.578125,1847,29552,28.859375,62,992,0.96875,660,10560,10.3125
32k,1153,36896,36.03125,1209,38688,37.78125,58,1856,1.8125,502,16064,15.6875
64k,635,40640,39.6875,626,40064,39.125,57,3648,3.5625,337,21568,21.0625
128k,330,42240,41.25,324,41472,40.5,50,6400,6.25,214,27392,26.75
256k,171,43776,42.75,167,42752,41.75,42,10752,10.5,125,32000,31.25
512k,87,44544,43.5,56,28672,28.0,37,18944,18.5,69,35328,34.5
1M,43,44032,43.0,41,41984,41.0,26,26624,26.0,36,36864,36.0
2M,21,43008,42.0,21,43008,42.0,16,32768,32.0,18,36864,36.0
4M,10,40960,40.0,10,40960,40.0,9,36864,36.0,9,36864,36.0
8M,5,40960,40.0,5,40960,40.0,4,32768,32.0,4,32768,32.0
16M,2,32768,32.0,2,32768,32.0,2,32768,32.0,2,32768,32.0
####,####,SSD/HDD,####,####
RAND_READ,RAND_WRITE,SEQ_READ,SEQ_WRITE
84.8333333333,48.25,2.22649742166,5.82548476454
83.5625,49.2903225806,2.37083333333,6.33333333333
79.5833333333,30.4375,2.62997871694,2.60748792271
66.9894736842,31.6724137931,2.99344978166,2.87534626039
41.875,26.4032258065,2.72237380628,2.79848484848
21.9042553191,19.8793103448,2.3682983683,2.40836653386
11.1935483871,11.1403508772,2.17484008529,1.85756676558
6.08139534884,6.6,1.88235294118,1.51401869159
4.5,4.07142857143,1.62987012987,1.336
3.02325581395,2.35135135135,1.18867924528,0.811594202899
1.91176470588,1.65384615385,1.03333333333,1.13888888889
1.6,1.3125,1.03333333333,1.16666666667
1.33333333333,1.11111111111,1.0,1.11111111111
1.33333333333,1.25,1.0,1.25
1.33333333333,1.0,1.0,1.0
