       eth0       
 KB/s in  KB/s out
 1556.20     83.77
 1306.49     89.13
  987.64     62.03
 1230.10     65.68
  941.02     40.27
 1547.75    116.60
  684.55    170.68
 1423.90   1452.48
  975.55    995.37
  595.30    614.16
    2.19      2.69
    2.34      2.38
 3872.52   1452.14
 1152.89     53.82
  818.51    150.03
       eth0       
 KB/s in  KB/s out
 1310.19   1330.31
 1327.08   1376.59
 1738.15   1746.53
  764.98    782.58
  680.84    690.96
 1854.84   1875.49
  877.21    887.45
 1329.89    427.19
 1558.23     63.00
  846.16     33.27
  912.12     33.22
 2066.90   1328.71
  896.76   1565.88
 1457.26   1477.65
  948.16    179.98
  724.70     28.07
  876.09     35.51
 1676.18     62.85
  775.58    518.96
 1206.36   1216.48
 1771.12   1788.70
  992.36   1003.99
       eth0       
 KB/s in  KB/s out
  526.36    535.46
    0.44      3.19
 2982.64   2992.49
  872.11    891.59
 1217.21     54.10
 1329.42     57.64
  915.12     35.17
  850.63     31.87
 1274.22   1202.64
 1965.35   1985.20
 1047.34   1056.22
 1285.19   1309.22
  926.08    935.85
 1693.94    913.14
 1138.48   1961.61
  797.89    807.13
 1793.55   1816.20
  830.81    840.13
  936.92    661.46
 1690.70     65.25
  888.61     34.43
 1189.41     42.06
       eth0       
 KB/s in  KB/s out
 1610.96     62.37
  871.99     35.19
  909.72     32.06
  726.67     28.85
 1967.29     70.88
 1355.78     59.00
  818.46     32.83
 1670.79     63.81
 1779.16     66.51
 1672.91     75.94
  738.88     33.00
 1677.96     63.89
  721.79     30.47
 1061.27    367.95
 1433.37    938.43
 1266.65   1276.45
 1629.21   1650.05
  902.16    400.30
  977.00     35.55
 2130.02     75.07
 1144.83     38.64
    2.83      2.83
       eth0       
 KB/s in  KB/s out
 2316.19     67.00
 1050.38     49.88
 1674.21     53.03
 1613.30     61.51
 1020.62     35.59
 1165.17    631.72
 1054.22   1063.93
 1125.45   1136.71
 1327.12   1336.98
 1542.01    370.71
  798.66     30.97
  875.49     33.36
 1115.42     41.01
  788.89     43.16
 2198.06     65.83
  959.25     35.77
  947.69     34.62
    3.70      4.82
 2542.25     83.04
  954.40     35.53
  844.00    242.84
 1168.77   1178.78
       eth0       
 KB/s in  KB/s out
 2119.19   2139.27
  921.64    943.55
 1047.26     98.48
 1331.56     56.42
  769.29     33.80
 1287.95     57.22
 1231.61   1239.96
 1685.32   1706.94
  970.94    980.31
  818.94    831.12
 2156.93   2188.47
  789.71    799.41
  875.65    886.03
  858.87    872.31
    2.72      3.29
 4394.58   3938.46
 1018.07   1517.41
 1147.76   1165.50
 1450.98   1470.53
 1661.46    449.71
 1322.01     46.34
 1384.72     58.90
       eth0       
 KB/s in  KB/s out
 1366.70    995.35
 2009.42   2062.12
 1489.17   1198.00
  209.56    246.05
 2254.38     89.83
  950.01     37.02
  864.78     32.91
 2092.09   2093.41
 1013.91   1024.41
  903.40    913.60
 1801.19    482.12
    1.64      2.10
 2180.49     74.08
  946.50    185.18
  951.89    962.26
 1586.12   1605.73
 1359.07   1386.34
 1512.80   1535.95
  871.12    883.58
 1268.66   1287.20
  805.38    815.46
 1814.37   1848.17
       eth0       
 KB/s in  KB/s out
 1386.17   1404.53
 1567.16   1589.04
  637.17    119.17
 1497.29     60.86
 1601.24     60.25
  590.54     28.51
  999.23     39.54
 1500.82     59.51
  763.70     28.78
 2482.93   1346.58
  835.26    844.50
 1945.88   1967.30
  734.53    668.29
 1681.82     61.88
 1541.50     61.92
  983.39     36.25
  594.40     29.89
 1532.91     63.77
 1621.88     60.68
 1702.88     62.52
  794.95     32.55
  664.31     31.81
       eth0       
 KB/s in  KB/s out
 1202.21     40.96
 1313.33     43.77
 1671.09     62.81
 1644.33     62.60
  980.94    580.53
 1876.33   1895.20
 1018.55   1029.94
  967.15    977.05
 1903.41   1924.06
  837.01    848.35
    0.83      1.35
 2867.07   1739.65
 1012.80     37.11
 2436.33    393.80
  982.83    994.31
 1789.88   1809.22
  872.69    882.42
 1205.90   1227.36
 1102.99   1112.88
 1235.16   1246.26
 1493.50   1505.38
 1635.00   1644.80
       eth0       
 KB/s in  KB/s out
 1165.60   1174.40
 2198.65   2218.30
 1185.31   1197.81
 2305.69   2324.43
 1122.66    593.80
   13.95    562.17
 2706.98   2593.93
    5.97    141.85
