       eth0       
 KB/s in  KB/s out
    1.28      1.03
 4350.73   2894.70
    1.43      2.08
    1.46      4.71
 3763.22   3865.14
    0.13      0.13
    1.93      2.40
 3047.75   3056.87
 2338.94   2350.94
 1906.31   1339.39
 1758.53     52.38
 1499.56     47.09
    1.80      2.40
 1965.08     59.81
 1555.74     48.19
 2421.11   1227.26
    2.92      3.44
 2066.57   2074.48
 1576.63   1588.78
 1712.39   1721.94
 1874.55   1884.27
  414.70    373.28
       eth0       
 KB/s in  KB/s out
 1545.22    167.04
 3111.57    422.76
 1347.73     42.47
   33.96   1346.78
 1785.08   1794.73
 1569.86    926.31
 1616.47     53.16
 1499.36     45.92
 1554.93     49.57
 1542.37     48.62
    0.63      1.28
 3264.35     97.61
 1436.57     48.02
 1257.16     41.79
    2.70      2.77
 1436.01   1303.34
 2826.58   2845.34
 1362.48   1373.51
 1129.09   1139.29
    0.06      0.07
 3103.13   3116.75
 1325.36   1339.47
       eth0       
 KB/s in  KB/s out
 1512.90   1523.61
 1302.39   1320.90
    5.01      5.05
 1322.03   1332.42
 2381.55   2393.30
 1626.00    199.03
  988.35     35.64
 1824.51     65.22
 1201.13     43.24
  970.68     36.50
    1.63      1.26
 2335.78     80.32
  876.83     32.94
 1187.25     39.64
  688.24     31.10
 1839.27     67.28
  742.31     31.21
 1570.86     62.68
 1504.86     59.59
 1434.92     60.97
  718.32     28.81
 1519.96     72.94
       eth0       
 KB/s in  KB/s out
 1125.95     51.06
 1394.85     55.41
 1491.55     61.92
  797.62     32.04
  764.97    343.48
 1494.24   1523.31
 1106.20   1116.34
 1622.13   1597.91
  560.11     25.61
 1070.35     51.67
 1476.06     69.78
 1176.71     52.94
 1189.65     55.99
  826.30     46.28
 1341.70     67.92
 1101.26     83.78
  249.54     20.38
 2025.82     97.13
  395.89     22.53
 1824.77    107.93
  899.84    927.07
 1303.58   1330.33
       eth0       
 KB/s in  KB/s out
 1608.91   1118.60
 1252.21   1280.88
 1023.87     47.94
  630.34     40.66
 1575.01     87.87
  862.75     45.87
  778.40     53.85
